,Unnamed: 0,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,atambua,-9.1061,124.8925,78.24,60,48,2.48,ID,1661729705
1,1,mataura,-46.1927,168.8643,46.47,59,3,1.9,NZ,1661729707
2,2,barrow,71.2906,-156.7887,41.02,87,75,9.22,US,1661729710
3,3,pevek,69.7008,170.3133,41.95,74,7,4.0,RU,1661729712
4,4,urumqi,43.801,87.6005,63.55,39,0,6.71,CN,1661729642
5,5,cuervos,32.6314,-114.8556,106.75,26,0,14.94,MX,1661729721
6,6,butaritari,3.0707,172.7902,82.2,72,26,17.85,KI,1661729724
7,7,mahebourg,-20.4081,57.7,69.26,84,40,12.19,MU,1661729726
8,8,norman wells,65.282,-126.8329,68.04,60,75,10.36,CA,1661729728
9,9,nikolskoye,59.7035,30.7861,66.09,67,94,1.74,RU,1661729637
10,10,rikitea,-23.1203,-134.9692,72.23,82,100,25.93,PF,1661729571
11,11,arraial do cabo,-22.9661,-42.0278,70.74,85,0,6.08,BR,1661729737
12,12,punta arenas,-53.15,-70.9167,46.51,66,40,6.91,CL,1661729740
13,13,airai,-8.9266,125.4092,67.48,60,26,3.71,TL,1661729742
14,14,atuona,-9.8,-139.0333,77.22,70,9,21.39,PF,1661729744
15,15,ushuaia,-54.8,-68.3,46.06,66,40,3.44,AR,1661729747
16,16,bethel,41.3712,-73.414,78.03,77,35,5.32,US,1661729665
17,17,te anau,-45.4167,167.7167,50.16,72,25,0.6,NZ,1661729751
18,18,vaini,-21.2,-175.2,75.36,88,40,9.22,TO,1661729754
19,19,chuy,-33.6971,-53.4616,41.18,69,26,7.23,UY,1661729756
20,20,vardo,70.3705,31.1107,48.18,93,75,11.5,NO,1661729758
21,21,san jeronimo,-11.9472,-75.2829,53.6,58,94,3.56,PE,1661729761
22,22,mount gambier,-37.8333,140.7667,59.32,63,28,11.43,AU,1661729763
23,23,bluff,-46.6,168.3333,46.8,71,8,4.18,NZ,1661729765
24,24,ahipara,-35.1667,173.1667,60.46,64,4,7.54,NZ,1661729768
25,25,kinablangan,7.6947,126.5503,81.34,77,96,3.69,PH,1661729770
26,26,north bend,43.4065,-124.2243,80.24,83,0,27.63,US,1661729773
27,27,guilin,25.2819,110.2864,75.31,80,44,1.48,CN,1661729775
28,28,saint-philippe,-21.3585,55.7679,69.39,87,16,8.05,RE,1661729563
29,29,nador,35.174,-2.9287,79.05,89,0,5.75,MA,1661729779
30,30,mogadishu,2.0371,45.3438,75.4,80,64,16.8,SO,1661729784
31,31,sabang,5.8933,95.3214,81.27,72,41,13.18,ID,1661729786
32,32,maragogi,-9.0122,-35.2225,72.57,88,52,8.19,BR,1661729789
33,33,muros,42.7762,-9.0603,65.68,91,39,1.45,ES,1661729791
34,34,hithadhoo,-0.6,73.0833,80.98,76,100,11.72,MV,1661729794
35,35,faya,18.3851,42.4509,69.91,41,91,1.25,SA,1661729639
36,36,busselton,-33.65,115.3333,50.74,67,100,4.81,AU,1661729798
37,37,skelleftea,64.7507,20.9528,46.99,100,2,6.91,SE,1661729800
38,38,jamestown,42.097,-79.2353,80.24,62,0,5.75,US,1661729664
39,39,springbok,-29.6643,17.8865,38.44,79,0,4.03,ZA,1661729805
40,40,paamiut,61.994,-49.6678,42.46,77,100,11.83,GL,1661729807
41,41,hambantota,6.1241,81.1185,77.97,81,96,16.49,LK,1661729810
42,42,henties bay,-22.116,14.2845,53.2,92,0,6.44,,1661729812
43,43,saskylakh,71.9167,114.0833,42.1,73,100,15.03,RU,1661729814
44,44,betafo,-19.8333,46.85,50.5,74,50,2.55,MG,1661729817
45,45,yerbogachen,61.2767,108.0108,42.35,91,89,8.93,RU,1661729819
46,46,aklavik,68.2191,-135.0107,51.73,69,100,14.18,CA,1661729822
47,47,bredasdorp,-34.5322,20.0403,46.8,88,2,8.32,ZA,1661729824
48,48,torbay,47.6666,-52.7314,63.75,76,20,12.66,CA,1661729731
