,City,latitude,Longitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,57.7,62,0,8.95,RU,1659307151
1,hermanus,-34.4187,19.2345,48.78,72,2,6.64,ZA,1659307131
2,atar,20.5169,-13.0499,92.21,41,2,12.03,MR,1659307157
3,bekwai,6.4534,-1.5774,69.4,95,100,4.88,GH,1659307160
4,hilo,19.7297,-155.09,85.28,61,20,12.66,US,1659307063
5,tautira,-17.7333,-149.15,76.86,70,62,23.49,PF,1659307158
6,jiuquan,39.7432,98.5174,71.28,38,52,4.56,CN,1659307166
7,faanui,-16.4833,-151.75,78.82,71,12,25.88,PF,1659307169
8,aykhal,66.0,111.5,54.7,94,100,13.98,RU,1659307171
9,narsaq,60.9167,-46.05,57.42,80,84,4.09,GL,1659307170
10,compiegne,49.4179,2.8261,70.56,92,10,3.15,FR,1659307175
11,bam,29.106,58.357,89.8,34,86,7.56,IR,1659307178
12,ribeira grande,38.5167,-28.7,74.12,73,16,2.91,PT,1659307180
13,lebu,-37.6167,-73.65,47.01,83,95,5.3,CL,1659307110
14,sao joao da barra,-21.6403,-41.0511,67.42,71,2,6.87,BR,1659307185
15,saskylakh,71.9167,114.0833,44.62,82,99,11.3,RU,1659307187
16,kodiak,57.79,-152.4072,60.31,77,100,0.0,US,1659307129
17,victoria,22.2855,114.1577,84.38,82,7,1.99,HK,1659306988
18,tuatapere,-46.1333,167.6833,44.17,85,84,8.12,NZ,1659307194
19,banjar,-8.19,114.9675,73.33,78,65,3.4,ID,1659307196
20,mar del plata,-38.0023,-57.5575,54.95,85,0,10.0,AR,1659306903
21,kahului,20.8947,-156.47,87.82,40,20,19.57,US,1659307200
22,longyearbyen,78.2186,15.6401,49.84,76,0,11.5,SJ,1659307203
23,bluff,-46.6,168.3333,45.81,76,51,15.17,NZ,1659307205
24,vaini,-21.2,-175.2,78.96,94,40,6.91,TO,1659307094
25,dakoro,14.5106,6.765,77.41,65,63,5.86,NE,1659307210
26,baghdad,33.3406,44.4009,85.91,26,0,2.3,IQ,1659307183
27,punta arenas,-53.15,-70.9167,42.91,75,75,13.8,CL,1659307214
28,lakes entrance,-37.8811,147.981,51.17,64,72,11.41,AU,1659307050
29,vammala,61.3333,22.9,61.5,81,46,4.99,FI,1659307219
30,comodoro rivadavia,-45.8667,-67.5,42.66,45,0,3.44,AR,1659307059
31,tiksi,71.6872,128.8694,42.08,94,100,14.05,RU,1659307020
32,port alfred,-33.5906,26.891,53.08,73,18,11.52,ZA,1659307047
33,calabozo,8.9242,-67.4293,79.14,80,72,2.89,VE,1659307228
34,benito juarez,19.385,-99.165,75.02,31,75,0.0,MX,1659307099
35,morehead,37.2711,-87.1764,79.0,92,100,0.0,US,1659307232
36,busselton,-33.65,115.3333,57.24,91,88,29.62,AU,1659307226
37,togur,58.3631,82.8265,54.95,65,100,12.37,RU,1659307237
38,dikson,73.5069,80.5464,40.87,94,100,14.58,RU,1659307041
39,emba,48.8264,58.1442,73.6,45,57,6.6,KZ,1659307241
40,magadan,59.5667,150.8,56.53,89,99,7.72,RU,1659307243
41,ushuaia,-54.8,-68.3,38.86,87,40,8.05,AR,1659307134
42,sitka,57.0531,-135.33,57.09,88,100,5.75,US,1659307248
43,torbay,47.6666,-52.7314,72.37,68,20,21.85,CA,1659307250
44,ilulissat,69.2167,-51.1,60.82,39,40,16.11,GL,1659307253
45,el cobre,20.0489,-75.9469,85.44,79,40,18.41,CU,1659307255
46,west des moines,41.572,-93.7453,87.91,48,20,16.11,US,1659307054
47,mataura,-46.1927,168.8643,45.48,86,24,5.75,NZ,1659307130
48,yulara,-25.2406,130.9889,49.86,42,39,9.42,AU,1659307264
49,bambous virieux,-20.3428,57.7575,70.21,73,75,11.5,MU,1659307197
50,hvide sande,56.0045,8.1294,61.09,91,100,23.76,DK,1659307268
51,tuktoyaktuk,69.4541,-133.0374,62.6,59,40,5.75,CA,1659307128
52,vardo,70.3705,31.1107,51.78,100,100,2.3,NO,1659307273
53,harper,4.375,-7.7169,75.18,81,100,13.42,LR,1659307275
54,sao filipe,14.8961,-24.4956,75.79,75,42,5.64,CV,1659307277
55,jamestown,42.097,-79.2353,78.19,48,20,8.05,US,1659307127
56,hasaki,35.7333,140.8333,86.29,75,98,1.07,JP,1659307284
57,caravelas,-17.7125,-39.2481,69.98,91,80,7.96,BR,1659307286
58,cabo san lucas,22.8909,-109.9124,92.05,69,40,11.5,MX,1659307228
59,pochutla,15.7432,-96.4661,87.62,63,60,6.11,MX,1659307291
60,clinton,42.587,-82.9199,86.43,52,20,16.11,US,1659307293
61,rikitea,-23.1203,-134.9692,72.18,74,100,22.57,PF,1659307049
62,noyabrsk,63.1994,75.4507,47.75,78,19,9.51,RU,1659307298
63,hobart,-42.8794,147.3294,51.26,74,99,1.99,AU,1659307300
64,bonavista,48.6499,-53.1147,63.27,81,66,2.53,CA,1659307302
65,hithadhoo,-0.6,73.0833,80.47,74,100,16.08,MV,1659307247
66,cape town,-33.9258,18.4232,52.92,80,0,7.0,ZA,1659307047
67,khyriv,49.5333,22.8524,59.5,96,100,5.64,UA,1659307309
68,maniwaki,46.3834,-75.966,82.78,39,25,8.05,CA,1659307054
69,znamenskoye,57.1281,73.8282,55.72,89,61,6.8,RU,1659307316
70,kapaa,22.0752,-159.319,85.98,64,0,14.97,US,1659307122
71,luau,-10.7073,22.2247,63.57,28,0,4.59,AO,1659307320
72,rockhampton,-23.3833,150.5,60.69,94,75,4.61,AU,1659307322
73,avarua,-21.2078,-159.775,78.85,65,20,16.11,CK,1659307060
74,atuona,-9.8,-139.0333,76.87,75,12,14.5,PF,1659307122
75,clyde river,70.4692,-68.5914,37.63,93,75,8.05,CA,1659307198
76,east london,-33.0153,27.9116,54.77,63,5,8.5,ZA,1659307137
